modelo;data_criacao;id_carro_modelo
INTEGRA;2022-09-23;1
LEGEND;2022-09-23;2
NSX;2022-09-23;3
MARRUA;2022-09-23;4
145;2022-09-23;5
147;2022-09-23;6
155;2022-09-23;7
156;2022-09-23;8
164;2022-09-23;9
166;2022-09-23;10
2300;2022-09-23;11
SPIDER;2022-09-23;12
HUMMER;2022-09-23;13
BESTA;2022-09-23;14
BONGO;2022-09-23;15
CADENZA;2022-09-23;16
CARENS;2022-09-23;17
100;2022-09-23;18
80;2022-09-23;19
A1;2022-09-23;20
A3;2022-09-23;21
A4 SEDAN;2022-09-23;22
A5 COUPE;2022-09-23;23
A6 SEDAN;2022-09-23;24
A7;2022-09-23;25
A8;2022-09-23;26
Q3;2022-09-23;27
Q5;2022-09-23;28
Q7;2022-09-23;29
R8;2022-09-23;30
RS3;2022-09-23;31
RS4;2022-09-23;32
RS5;2022-09-23;33
RS6;2022-09-23;34
S3;2022-09-23;35
S4 SEDAN;2022-09-23;36
S6 SEDAN;2022-09-23;37
S8;2022-09-23;38
TT;2022-09-23;39
TTS;2022-09-23;40
BUGGY;2022-09-23;41
DEVILLE;2022-09-23;42
ELDORADO;2022-09-23;43
SEVILLE;2022-09-23;44
JAVALI;2022-09-23;45
MINI STAR FAMILY;2022-09-23;46
MINI STAR UTILITY;2022-09-23;47
CIELO;2022-09-23;48
FACE;2022-09-23;49
QQ;2022-09-23;50
S-18;2022-09-23;51
TIGGO;2022-09-23;52
300C;2022-09-23;53
CARAVAN;2022-09-23;54
CIRRUS;2022-09-23;55
GRAN CARAVAN;2022-09-23;56
LE BARON;2022-09-23;57
NEON;2022-09-23;58
PT CRUISER;2022-09-23;59
SEBRING;2022-09-23;60
STRATUS;2022-09-23;61
TOWN E COUNTRY;2022-09-23;62
VISION;2022-09-23;63
AIRCROSS;2022-09-23;64
AX;2022-09-23;65
BERLINGO;2022-09-23;66
BX;2022-09-23;67
C3;2022-09-23;68
C4;2022-09-23;69
C5;2022-09-23;70
C6;2022-09-23;71
C8;2022-09-23;72
DS3;2022-09-23;73
EVASION;2022-09-23;74
JUMPER;2022-09-23;75
XANTIA;2022-09-23;76
XM;2022-09-23;77
XSARA;2022-09-23;78
ZX;2022-09-23;79
CL-244;2022-09-23;80
CL-330;2022-09-23;81
ESPERO;2022-09-23;82
LANOS;2022-09-23;83
LEGANZA;2022-09-23;84
NUBIRA;2022-09-23;85
PRINCE;2022-09-23;86
RACER;2022-09-23;87
SUPER SALON;2022-09-23;88
TICO;2022-09-23;89
APPLAUSE;2022-09-23;90
CHARADE;2022-09-23;91
CUORE;2022-09-23;92
FEROZA;2022-09-23;93
GRAN MOVE;2022-09-23;94
MOVE VAN;2022-09-23;95
TERIOS;2022-09-23;96
AVENGER;2022-09-23;97
DAKOTA;2022-09-23;98
JOURNEY;2022-09-23;99
RAM;2022-09-23;100
STEALTH;2022-09-23;101
M-100;2022-09-23;102
PLUTUS;2022-09-23;103
START;2022-09-23;104
ULC;2022-09-23;105
ENGESA;2022-09-23;106
CAMPER;2022-09-23;107
MASTER;2022-09-23;108
348;2022-09-23;109
355;2022-09-23;110
360;2022-09-23;111
456;2022-09-23;112
550;2022-09-23;113
575M;2022-09-23;114
612;2022-09-23;115
CALIFORNIA;2022-09-23;116
F430;2022-09-23;117
F599;2022-09-23;118
500;2022-09-23;120
BRAVA;2022-09-23;121
BRAVO;2022-09-23;122
COUPE;2022-09-23;123
DOBLO;2022-09-23;124
DUCATO CARGO;2022-09-23;125
DUNA;2022-09-23;126
ELBA;2022-09-23;127
FIORINO;2022-09-23;128
FREEMONT;2022-09-23;129
GRAND SIENA;2022-09-23;130
IDEA;2022-09-23;131
LINEA;2022-09-23;132
MAREA;2022-09-23;133
OGGI;2022-09-23;134
PALIO;2022-09-23;135
PANORAMA;2022-09-23;136
PREMIO;2022-09-23;137
PUNTO;2022-09-23;138
SIENA;2022-09-23;139
STILO;2022-09-23;140
STRADA;2022-09-23;141
TEMPRA;2022-09-23;142
TIPO;2022-09-23;143
UNO;2022-09-23;144
AEROSTAR;2022-09-23;145
ASPIRE;2022-09-23;146
BELINA;2022-09-23;147
CLUB WAGON;2022-09-23;148
CONTOUR;2022-09-23;149
CORCEL II;2022-09-23;150
COURIER;2022-09-23;151
CROWN VICTORIA;2022-09-23;152
DEL REY;2022-09-23;153
ECOSPORT;2022-09-23;154
EDGE;2022-09-23;155
ESCORT;2022-09-23;156
EXPEDITION;2022-09-23;157
EXPLORER;2022-09-23;158
F-100;2022-09-23;159
F-1000;2022-09-23;160
F-150;2022-09-23;161
F-250;2022-09-23;162
FIESTA;2022-09-23;163
FOCUS;2022-09-23;164
FURGLAINE;2022-09-23;165
FUSION;2022-09-23;166
IBIZA;2022-09-23;167
KA;2022-09-23;168
MONDEO;2022-09-23;169
MUSTANG;2022-09-23;170
PAMPA;2022-09-23;171
PROBE;2022-09-23;172
RANGER;2022-09-23;173
VERSAILLES ROYALE;2022-09-23;174
TAURUS;2022-09-23;175
THUNDERBIRD;2022-09-23;176
TRANSIT;2022-09-23;177
VERONA;2022-09-23;178
VERSAILLES;2022-09-23;179
WINDSTAR;2022-09-23;180
A-10;2022-09-23;181
A-20;2022-09-23;182
AGILE;2022-09-23;183
ASTRA;2022-09-23;184
BLAZER;2022-09-23;185
BONANZA;2022-09-23;186
C-10;2022-09-23;187
C-20;2022-09-23;188
